"user_story_id","gap_id","gap_text","importance","ref_id","reference_information","category"
"US02","G01","O que é considerado uma recycling facility?","Necessária","L01","Uma recycling facility é um local físico que recebe materiais recicláveis entregues por usuários.","Léxica"
"US02","G02","Quais formatos de ZIP code são aceitos?","Necessária","O01","O sistema aceita ZIP de 5 dígitos e ZIP+4.","Operacional"
"US02","G03","O que significa uma instalação estar “nearby”?","Necessária","O02","Uma instalação é considerada próxima quando está a até 25 km da região correspondente ao ZIP informado.","Operacional"
"US02","G04","O que acontece quando o ZIP informado é inválido ou não pode ser localizado?","Necessária","O03","A busca não é executada e o usuário recebe uma mensagem informando que o ZIP não pôde ser reconhecido.","Operacional"
"US02","G05","Quais instalações podem aparecer nos resultados?","Necessária","O04","Apenas instalações com cadastro ativo e verificado podem aparecer nos resultados.","Operacional"
"US02","G06","Quais informações devem ser exibidas para cada instalação?","Necessária","O05","Cada resultado apresenta nome, endereço, distância e tipos de materiais aceitos.","Operacional"
"US02","G07","Como os resultados devem ser ordenados?","Complementar","O06","As instalações são ordenadas pela distância, da mais próxima para a mais distante.","Operacional"
"US02","G08","De onde é obtida a localização correspondente ao ZIP informado?","Necessária","S01","O ZIP é convertido em uma localização geográfica por um serviço de geocodificação utilizado pelo sistema.","Sistêmica"
"US02","G09","De onde vêm as informações sobre as instalações de reciclagem?","Necessária","S02","As instalações são obtidas do cadastro de instalações mantido pela plataforma.","Sistêmica"
"US02","G10","Existe uma decisão anterior sobre usar ZIP em vez da localização do dispositivo?","Complementar","D01","Foi decidido utilizar ZIP informado manualmente e não exigir acesso à localização do dispositivo.","Decisória"
"US02","G11","O que acontece quando nenhuma instalação é encontrada dentro da área considerada próxima?","Necessária","O07","O sistema informa que nenhuma instalação próxima foi encontrada e não amplia automaticamente o raio da busca.","Operacional"
"US08","G01","O que é considerado um estimator na rodada?","Necessária","L01","Estimator é um participante ativo da rodada com permissão para submeter uma estimativa.","Léxica"
"US08","G02","O que significa todos os estimadores terem dado sua estimativa?","Necessária","O01","A condição é satisfeita quando todos os estimadores ativos da rodada possuem uma estimativa registrada.","Operacional"
"US08","G03","As estimativas ficam visíveis antes da revelação?","Necessária","O02","Nenhuma estimativa individual é exibida aos participantes antes da revelação da rodada.","Operacional"
"US08","G04","Quando as estimativas são reveladas?","Necessária","O03","A revelação ocorre automaticamente assim que todos os estimadores ativos tiverem submetido uma estimativa.","Operacional"
"US08","G05","Um estimador pode alterar sua estimativa antes da revelação?","Necessária","O04","O estimador pode substituir sua estimativa enquanto a rodada ainda não tiver sido revelada.","Operacional"
"US08","G06","O que acontece se um estimador sair antes de estimar?","Necessária","O05","Um estimador que deixar a rodada antes da revelação deixa de ser considerado no conjunto de estimadores ativos.","Operacional"
"US08","G07","O que significa mostrar as estimativas “ao mesmo tempo”?","Necessária","O06","Um único evento de revelação torna o conjunto completo de estimativas disponível para todos os participantes da rodada.","Operacional"
"US08","G08","De onde vêm as estimativas que serão reveladas?","Necessária","S01","As estimativas são obtidas do estado da rodada mantido pelo sistema do jogo.","Sistêmica"
"US08","G09","Como o sistema sabe quais estimadores pertencem à rodada?","Necessária","S02","A lista de estimadores ativos é mantida no estado da sessão do jogo.","Sistêmica"
"US08","G10","Existe uma decisão anterior sobre quem controla a revelação das estimativas?","Complementar","D01","Foi decidido que a revelação será acionada automaticamente pelo sistema, em vez de manualmente pelo moderador, para preservar a independência entre as estimativas.","Decisória"
"US18","G01","O que é considerado um game nesse contexto?","Necessária","L01","Game é uma sessão de estimativa colaborativa identificada por uma URL própria.","Léxica"
"US18","G02","O que é um estimator?","Necessária","L02","Estimator é um participante autorizado a entrar na sessão e fornecer estimativas.","Léxica"
"US18","G03","Quais nomes são aceitos?","Necessária","O01","O nome deve conter entre 1 e 50 caracteres não compostos exclusivamente por espaços.","Operacional"
"US18","G04","Nomes duplicados são permitidos?","Necessária","O02","Dois estimadores ativos não podem utilizar o mesmo nome dentro da mesma sessão.","Operacional"
"US18","G05","O que acontece se a URL não corresponder a um jogo válido?","Necessária","O03","O usuário não entra no jogo e recebe uma mensagem informando que o convite é inválido ou indisponível.","Operacional"
"US18","G06","Em quais estados do jogo um estimador pode entrar?","Necessária","O04","O estimador pode entrar enquanto a sessão estiver aberta para participantes.","Operacional"
"US18","G07","O que acontece após informar um nome válido?","Necessária","O05","O estimador é adicionado à sessão e direcionado para a página ativa do jogo.","Operacional"
"US18","G08","Como a URL identifica o jogo correto?","Necessária","S01","A URL contém um identificador utilizado pelo sistema para localizar a sessão correspondente.","Sistêmica"
"US18","G09","Onde é registrada a participação do estimador?","Necessária","S02","A associação entre o estimador e o jogo é registrada no estado da sessão.","Sistêmica"
"US18","G10","É necessário possuir conta para entrar?","Necessária","D01","Foi decidido permitir participação por convite sem exigir criação ou autenticação de uma conta.","Decisória"
"US25","G01","O que é considerado conteúdo recomendado?","Necessária","L01","Conteúdo recomendado é um item de conteúdo associado a um evento noticioso elegível.","Léxica"
"US25","G02","O que é considerado um news event?","Necessária","L02","News event é um acontecimento noticioso identificado a partir das fontes de notícias cadastradas.","Léxica"
"US25","G03","O que significa “my area”?","Necessária","L03","A área do usuário corresponde ao município associado ao seu perfil.","Léxica"
"US25","G04","Como é determinada a relevância de um evento?","Necessária","O01","A relevância é determinada por uma pontuação que combina recência e importância atribuída ao evento.","Operacional"
"US25","G05","Qual período de publicação é considerado?","Necessária","O02","Apenas eventos noticiosos das últimas 24 horas são elegíveis para recomendação.","Operacional"
"US25","G06","Quantas recomendações são retornadas?","Complementar","O03","O sistema retorna no máximo dez recomendações.","Operacional"
"US25","G07","Como as recomendações são ordenadas?","Necessária","O04","As recomendações são ordenadas pela pontuação de relevância, da maior para a menor.","Operacional"
