"user_story_id","gap_id","condition","gap_state"
"US02","G01","C0","OPEN"
"US02","G01","CL","ANSWERED"
"US02","G01","CO","OPEN"
"US02","G01","CD","OPEN"
"US02","G01","CS","OPEN"
"US02","G01","CT","ANSWERED"
"US02","G02","C0","OPEN"
"US02","G02","CL","OPEN"
"US02","G02","CO","ANSWERED"
"US02","G02","CD","OPEN"
"US02","G02","CS","OPEN"
"US02","G02","CT","ANSWERED"
"US02","G03","C0","OPEN"
"US02","G03","CL","OPEN"
"US02","G03","CO","ANSWERED"
"US02","G03","CD","OPEN"
"US02","G03","CS","OPEN"
"US02","G03","CT","ANSWERED"
"US02","G04","C0","OPEN"
"US02","G04","CL","OPEN"
"US02","G04","CO","ANSWERED"
"US02","G04","CD","OPEN"
"US02","G04","CS","OPEN"
"US02","G04","CT","ANSWERED"
"US02","G05","C0","OPEN"
"US02","G05","CL","OPEN"
"US02","G05","CO","ANSWERED"
"US02","G05","CD","OPEN"
"US02","G05","CS","OPEN"
"US02","G05","CT","ANSWERED"
"US02","G06","C0","OPEN"
"US02","G06","CL","OPEN"
"US02","G06","CO","ANSWERED"
"US02","G06","CD","OPEN"
"US02","G06","CS","OPEN"
"US02","G06","CT","ANSWERED"
"US02","G07","C0","OPEN"
"US02","G07","CL","OPEN"
"US02","G07","CO","ANSWERED"
"US02","G07","CD","OPEN"
"US02","G07","CS","OPEN"
"US02","G07","CT","ANSWERED"
"US02","G08","C0","OPEN"
"US02","G08","CL","OPEN"
"US02","G08","CO","OPEN"
"US02","G08","CD","OPEN"
"US02","G08","CS","ANSWERED"
"US02","G08","CT","ANSWERED"
"US02","G09","C0","OPEN"
"US02","G09","CL","OPEN"
"US02","G09","CO","OPEN"
"US02","G09","CD","OPEN"
"US02","G09","CS","ANSWERED"
"US02","G09","CT","ANSWERED"
"US02","G10","C0","OPEN"
"US02","G10","CL","OPEN"
"US02","G10","CO","OPEN"
"US02","G10","CD","ANSWERED"
"US02","G10","CS","OPEN"
"US02","G10","CT","ANSWERED"
"US02","G11","C0","OPEN"
"US02","G11","CL","OPEN"
"US02","G11","CO","ANSWERED"
"US02","G11","CD","OPEN"
"US02","G11","CS","OPEN"
"US02","G11","CT","ANSWERED"
"US08","G01","C0","OPEN"
"US08","G01","CL","ANSWERED"
"US08","G01","CO","OPEN"
"US08","G01","CD","OPEN"
"US08","G01","CS","OPEN"
"US08","G01","CT","ANSWERED"
"US08","G02","C0","OPEN"
"US08","G02","CL","OPEN"
"US08","G02","CO","ANSWERED"
"US08","G02","CD","OPEN"
"US08","G02","CS","OPEN"
"US08","G02","CT","ANSWERED"
"US08","G03","C0","OPEN"
"US08","G03","CL","OPEN"
"US08","G03","CO","ANSWERED"
"US08","G03","CD","OPEN"
"US08","G03","CS","OPEN"
"US08","G03","CT","ANSWERED"
"US08","G04","C0","OPEN"
"US08","G04","CL","OPEN"
"US08","G04","CO","ANSWERED"
"US08","G04","CD","OPEN"
"US08","G04","CS","OPEN"
"US08","G04","CT","ANSWERED"
"US08","G05","C0","OPEN"
"US08","G05","CL","OPEN"
"US08","G05","CO","ANSWERED"
"US08","G05","CD","OPEN"
"US08","G05","CS","OPEN"
"US08","G05","CT","ANSWERED"
"US08","G06","C0","OPEN"
"US08","G06","CL","OPEN"
"US08","G06","CO","ANSWERED"
"US08","G06","CD","OPEN"
"US08","G06","CS","OPEN"
"US08","G06","CT","ANSWERED"
"US08","G07","C0","OPEN"
"US08","G07","CL","OPEN"
"US08","G07","CO","ANSWERED"
"US08","G07","CD","OPEN"
"US08","G07","CS","OPEN"
"US08","G07","CT","ANSWERED"
"US08","G08","C0","OPEN"
"US08","G08","CL","OPEN"
"US08","G08","CO","OPEN"
"US08","G08","CD","OPEN"
"US08","G08","CS","ANSWERED"
"US08","G08","CT","ANSWERED"
"US08","G09","C0","OPEN"
"US08","G09","CL","OPEN"
"US08","G09","CO","OPEN"
"US08","G09","CD","OPEN"
"US08","G09","CS","ANSWERED"
"US08","G09","CT","ANSWERED"
"US08","G10","C0","OPEN"
"US08","G10","CL","OPEN"
"US08","G10","CO","OPEN"
"US08","G10","CD","ANSWERED"
"US08","G10","CS","OPEN"
"US08","G10","CT","ANSWERED"
"US18","G01","C0","OPEN"
"US18","G01","CL","ANSWERED"
"US18","G01","CO","OPEN"
"US18","G01","CD","OPEN"
"US18","G01","CS","OPEN"
"US18","G01","CT","ANSWERED"
"US18","G02","C0","OPEN"
"US18","G02","CL","ANSWERED"
"US18","G02","CO","OPEN"
"US18","G02","CD","OPEN"
"US18","G02","CS","OPEN"
"US18","G02","CT","ANSWERED"
"US18","G03","C0","OPEN"
"US18","G03","CL","OPEN"
"US18","G03","CO","ANSWERED"
"US18","G03","CD","OPEN"
"US18","G03","CS","OPEN"
"US18","G03","CT","ANSWERED"
"US18","G04","C0","OPEN"
"US18","G04","CL","OPEN"
"US18","G04","CO","ANSWERED"
"US18","G04","CD","OPEN"
"US18","G04","CS","OPEN"
"US18","G04","CT","ANSWERED"
"US18","G05","C0","OPEN"
"US18","G05","CL","OPEN"
"US18","G05","CO","ANSWERED"
"US18","G05","CD","OPEN"
"US18","G05","CS","OPEN"
"US18","G05","CT","ANSWERED"
"US18","G06","C0","OPEN"
"US18","G06","CL","OPEN"
"US18","G06","CO","ANSWERED"
"US18","G06","CD","OPEN"
"US18","G06","CS","OPEN"
"US18","G06","CT","ANSWERED"
"US18","G07","C0","OPEN"
"US18","G07","CL","OPEN"
"US18","G07","CO","ANSWERED"
"US18","G07","CD","OPEN"
"US18","G07","CS","OPEN"
"US18","G07","CT","ANSWERED"
"US18","G08","C0","OPEN"
"US18","G08","CL","OPEN"
"US18","G08","CO","OPEN"
"US18","G08","CD","OPEN"
"US18","G08","CS","ANSWERED"
"US18","G08","CT","ANSWERED"
"US18","G09","C0","OPEN"
"US18","G09","CL","OPEN"
"US18","G09","CO","OPEN"
"US18","G09","CD","OPEN"
"US18","G09","CS","ANSWERED"
"US18","G09","CT","ANSWERED"
"US18","G10","C0","OPEN"
"US18","G10","CL","OPEN"
"US18","G10","CO","OPEN"
"US18","G10","CD","ANSWERED"
"US18","G10","CS","OPEN"
"US18","G10","CT","ANSWERED"
"US25","G01","C0","OPEN"
"US25","G01","CL","ANSWERED"
"US25","G01","CO","OPEN"
"US25","G01","CD","OPEN"
"US25","G01","CS","OPEN"
"US25","G01","CT","ANSWERED"
"US25","G02","C0","OPEN"
"US25","G02","CL","ANSWERED"
"US25","G02","CO","OPEN"
"US25","G02","CD","OPEN"
"US25","G02","CS","OPEN"
"US25","G02","CT","ANSWERED"
"US25","G03","C0","OPEN"
"US25","G03","CL","ANSWERED"
"US25","G03","CO","OPEN"
"US25","G03","CD","OPEN"
"US25","G03","CS","OPEN"
"US25","G03","CT","ANSWERED"
"US25","G04","C0","OPEN"
"US25","G04","CL","OPEN"
"US25","G04","CO","ANSWERED"
"US25","G04","CD","OPEN"
"US25","G04","CS","OPEN"
"US25","G04","CT","ANSWERED"
"US25","G05","C0","OPEN"
"US25","G05","CL","OPEN"
"US25","G05","CO","ANSWERED"
"US25","G05","CD","OPEN"
"US25","G05","CS","OPEN"
"US25","G05","CT","ANSWERED"
"US25","G06","C0","OPEN"
"US25","G06","CL","OPEN"
"US25","G06","CO","ANSWERED"
"US25","G06","CD","OPEN"
"US25","G06","CS","OPEN"
"US25","G06","CT","ANSWERED"
"US25","G07","C0","OPEN"
"US25","G07","CL","OPEN"
"US25","G07","CO","ANSWERED"
"US25","G07","CD","OPEN"
"US25","G07","CS","OPEN"
"US25","G07","CT","ANSWERED"
"US25","G08","C0","OPEN"
"US25","G08","CL","OPEN"
"US25","G08","CO","ANSWERED"
