"question_uid","run_id","user_story_id","condition","repetition","attempt","question_order","question_text_raw","segment_id","segment_text","normalized_need","mapped_gap_id","mapping_status","notes"
"US02_C0_R1_Q01","US02_C0_R1","US02","C0","1","1","1","[NEEDS CLARIFICATION] What geographic region or set of ZIP codes is considered the supported service area?","","","","","",""
"US02_C0_R1_Q02","US02_C0_R1","US02","C0","1","1","2","[NEEDS CLARIFICATION] What maximum search radius should define “nearby” recycling facilities?","","","","","",""
"US02_C0_R1_Q03","US02_C0_R1","US02","C0","1","1","3","[NEEDS CLARIFICATION] What source of recycling facility data should the system use?","","","","","",""
"US02_C0_R1_Q04","US02_C0_R1","US02","C0","1","1","4","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones they should consider” beyond name, address, and distance?","","","","","",""
"US02_C0_R1_Q05","US02_C0_R1","US02","C0","1","1","5","[NEEDS CLARIFICATION] How should the system handle facilities that accept only specific recyclable materials when the user has not specified a material type?","","","","","",""
"US02_C0_R2_Q01","US02_C0_R2","US02","C0","2","1","1","[NEEDS CLARIFICATION] What geographic region or service area is supported for ZIP code searches?","","","","","",""
"US02_C0_R2_Q02","US02_C0_R2","US02","C0","2","1","2","[NEEDS CLARIFICATION] What maximum distance should define “nearby” recycling facilities?","","","","","",""
"US02_C0_R2_Q03","US02_C0_R2","US02","C0","2","1","3","[NEEDS CLARIFICATION] What source of recycling facility data should be used, and how current must that data be?","","","","","",""
"US02_C0_R2_Q04","US02_C0_R2","US02","C0","2","1","4","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones they should consider” beyond name, address, and distance?","","","","","",""
"US02_C0_R2_Q05","US02_C0_R2","US02","C0","2","1","5","[NEEDS CLARIFICATION] Should users be able to filter or compare facilities by accepted material type, or is a proximity-sorted list sufficient?","","","","","",""
"US02_C0_R3_Q01","US02_C0_R3","US02","C0","3","1","1","[NEEDS CLARIFICATION] What geographic region and ZIP code formats must be supported for searches?","","","","","",""
