user_story_id,condition,gap_id,ref_id,category,importance,gap_state,reference_information
US02,C0,G01,L01,Léxica,Necessária,Open,Uma recycling facility é um local físico que recebe materiais recicláveis entregues por usuários.
US02,C0,G02,O01,Operacional,Necessária,Open,O sistema aceita ZIP de 5 dígitos e ZIP+4.
US02,C0,G03,O02,Operacional,Necessária,Open,Uma instalação é considerada próxima quando está a até 25 km da região correspondente ao ZIP informado.
US02,C0,G04,O03,Operacional,Necessária,Open,A busca não é executada e o usuário recebe uma mensagem informando que o ZIP não pôde ser reconhecido.
US02,C0,G05,O04,Operacional,Necessária,Open,Apenas instalações com cadastro ativo e verificado podem aparecer nos resultados.
US02,C0,G06,O05,Operacional,Necessária,Open,"Cada resultado apresenta nome, endereço, distância e tipos de materiais aceitos."
US02,C0,G07,O06,Operacional,Complementar,Open,"As instalações são ordenadas pela distância, da mais próxima para a mais distante."
US02,C0,G08,S01,Sistêmica,Necessária,Open,O ZIP é convertido em uma localização geográfica por um serviço de geocodificação utilizado pelo sistema.
US02,C0,G09,S02,Sistêmica,Necessária,Open,As instalações são obtidas do cadastro de instalações mantido pela plataforma.
US02,C0,G10,D01,Decisória,Complementar,Open,Foi decidido utilizar ZIP informado manualmente e não exigir acesso à localização do dispositivo.
US02,C0,G11,O07,Operacional,Necessária,Open,O sistema informa que nenhuma instalação próxima foi encontrada e não amplia automaticamente o raio da busca.
US02,CL,G01,L01,Léxica,Necessária,Answered,Uma recycling facility é um local físico que recebe materiais recicláveis entregues por usuários.
US02,CL,G02,O01,Operacional,Necessária,Open,O sistema aceita ZIP de 5 dígitos e ZIP+4.
US02,CL,G03,O02,Operacional,Necessária,Open,Uma instalação é considerada próxima quando está a até 25 km da região correspondente ao ZIP informado.
US02,CL,G04,O03,Operacional,Necessária,Open,A busca não é executada e o usuário recebe uma mensagem informando que o ZIP não pôde ser reconhecido.
US02,CL,G05,O04,Operacional,Necessária,Open,Apenas instalações com cadastro ativo e verificado podem aparecer nos resultados.
US02,CL,G06,O05,Operacional,Necessária,Open,"Cada resultado apresenta nome, endereço, distância e tipos de materiais aceitos."
US02,CL,G07,O06,Operacional,Complementar,Open,"As instalações são ordenadas pela distância, da mais próxima para a mais distante."
US02,CL,G08,S01,Sistêmica,Necessária,Open,O ZIP é convertido em uma localização geográfica por um serviço de geocodificação utilizado pelo sistema.
US02,CL,G09,S02,Sistêmica,Necessária,Open,As instalações são obtidas do cadastro de instalações mantido pela plataforma.
US02,CL,G10,D01,Decisória,Complementar,Open,Foi decidido utilizar ZIP informado manualmente e não exigir acesso à localização do dispositivo.
US02,CL,G11,O07,Operacional,Necessária,Open,O sistema informa que nenhuma instalação próxima foi encontrada e não amplia automaticamente o raio da busca.
US02,CO,G01,L01,Léxica,Necessária,Open,Uma recycling facility é um local físico que recebe materiais recicláveis entregues por usuários.
US02,CO,G02,O01,Operacional,Necessária,Answered,O sistema aceita ZIP de 5 dígitos e ZIP+4.
US02,CO,G03,O02,Operacional,Necessária,Answered,Uma instalação é considerada próxima quando está a até 25 km da região correspondente ao ZIP informado.
US02,CO,G04,O03,Operacional,Necessária,Answered,A busca não é executada e o usuário recebe uma mensagem informando que o ZIP não pôde ser reconhecido.
US02,CO,G05,O04,Operacional,Necessária,Answered,Apenas instalações com cadastro ativo e verificado podem aparecer nos resultados.
US02,CO,G06,O05,Operacional,Necessária,Answered,"Cada resultado apresenta nome, endereço, distância e tipos de materiais aceitos."
US02,CO,G07,O06,Operacional,Complementar,Answered,"As instalações são ordenadas pela distância, da mais próxima para a mais distante."
US02,CO,G08,S01,Sistêmica,Necessária,Open,O ZIP é convertido em uma localização geográfica por um serviço de geocodificação utilizado pelo sistema.
US02,CO,G09,S02,Sistêmica,Necessária,Open,As instalações são obtidas do cadastro de instalações mantido pela plataforma.
US02,CO,G10,D01,Decisória,Complementar,Open,Foi decidido utilizar ZIP informado manualmente e não exigir acesso à localização do dispositivo.
US02,CO,G11,O07,Operacional,Necessária,Answered,O sistema informa que nenhuma instalação próxima foi encontrada e não amplia automaticamente o raio da busca.
US02,CD,G01,L01,Léxica,Necessária,Open,Uma recycling facility é um local físico que recebe materiais recicláveis entregues por usuários.
US02,CD,G02,O01,Operacional,Necessária,Open,O sistema aceita ZIP de 5 dígitos e ZIP+4.
US02,CD,G03,O02,Operacional,Necessária,Open,Uma instalação é considerada próxima quando está a até 25 km da região correspondente ao ZIP informado.
US02,CD,G04,O03,Operacional,Necessária,Open,A busca não é executada e o usuário recebe uma mensagem informando que o ZIP não pôde ser reconhecido.
US02,CD,G05,O04,Operacional,Necessária,Open,Apenas instalações com cadastro ativo e verificado podem aparecer nos resultados.
