"blind_item_id","user_story_id","question_text_raw","mapped_gap_ids","notes"
"B0049","US02","[NEEDS CLARIFICATION] What message or user action should be provided when the ZIP geocoding service or facility registry is temporarily unavailable?","",""
"B0010","US02","[NEEDS CLARIFICATION] What geographic region and ZIP code formats must be supported for searches?","",""
"B0029","US02","[NEEDS CLARIFICATION] Should results be limited exclusively to facilities with active and verified registrations?","",""
"B0046","US02","[NEEDS CLARIFICATION] What distance radius or rule defines “nearby” recycling facilities?","",""
"B0067","US02","[NEEDS CLARIFICATION] Should “nearby” use the 25 km radius from the operational context, or the 25 miles radius currently assumed in `spec.md`?","",""
"B0008","US02","[NEEDS CLARIFICATION] What radius or rule should define “nearby” recycling facilities?","",""
"B0043","US02","[NEEDS CLARIFICATION] What geographic region or set of ZIP codes is considered the supported service area?","",""
"B0063","US02","[NEEDS CLARIFICATION] What facility data source should be used, and how fresh must the facility information be?","",""
"B0097","US08","[NEEDS CLARIFICATION] After estimates have been revealed, are estimators allowed to revise their estimates, and if so should those revisions be shown, blocked, or tracked separately?","",""
"B0080","US08","[NEEDS CLARIFICATION] Should estimators themselves also be prevented from seeing other estimates before the simultaneous reveal, or is this requirement limited to participants?","",""
"B0119","US08","[NEEDS CLARIFICATION] How is the required estimator set for a draw defined and frozen before deciding that “all estimators” have submitted?","",""
"B0120","US08","[NEEDS CLARIFICATION] While estimates are hidden, should participants see only a generic waiting state, or should they see the count/names of estimators who have not submitted?","",""
"B0079","US08","[NEEDS CLARIFICATION] After automatic reveal has occurred, should the system block further estimate submissions entirely, or allow them while excluding them from the revealed result set?","",""
"B0082","US08","[NEEDS CLARIFICATION] If a new estimator becomes active after a draw has already started but before reveal, should that estimator be included in the required set for that draw?","",""
"B0126","US08","[NEEDS CLARIFICATION] Are “required estimators” for a draw exactly the active estimators in the game session at the time the draw starts, or can the required set change during the draw?","",""
"B0140","US18","[NEEDS CLARIFICATION] After a successful join, must the estimator be redirected to the active game page, or is an on-page participating confirmation sufficient?","",""
"B0175","US18","[NEEDS CLARIFICATION] What condition determines that a game is “no longer accepting participants”?","",""
"B0170","US18","[NEEDS CLARIFICATION] For an invalid or unavailable invite URL, should the system expose one generic message or distinguish between invalid invite, unavailable invite, and closed session?","",""
"B0181","US18","[NEEDS CLARIFICATION] How should the system identify and prevent duplicate participant entries from repeated submissions: by browser/session, exact display name within the game, authenticated user identity, or another identifier?","",""
"B0187","US18","[NEEDS CLARIFICATION] What makes an estimator “authorized” to join a game from the received URL?","",""
"B0176","US18","[NEEDS CLARIFICATION] Should two estimators in the same game be allowed to join with the same display name?","",""
"B0159","US18","[NEEDS CLARIFICATION] Are there any display-name constraints beyond non-empty/non-whitespace, such as maximum length, allowed characters, or duplicate names within the same game?","",""
"B0229","US25","[NEEDS CLARIFICATION] If the profile service has no registered municipality for the user, what should the recommendation experience do?","",""
"B0203","US25","[NEEDS CLARIFICATION] What geographic boundary should “my area” use for matching news events: user-selected city/region, inferred current location, neighborhood-level area, or another defined scope?","",""
"B0210","US25","[NEEDS CLARIFICATION] Should recommendable content be limited to items directly associated with eligible news events, or may it include broader topical/regional content related to those events?","",""
"B0209","US25","[NEEDS CLARIFICATION] What types of content items are eligible to be recommended based on local news events?","",""
"B0267","US25","[NEEDS CLARIFICATION] When no eligible local news events exist, should the system return broader/general recommendations as currently specified, or should it state that no local recommendations are available and avoid expanding the region as stated in context?","",""
"B0264","US25","[NEEDS CLARIFICATION] What freshness threshold defines a news event as current versus stale?","",""
"B0239","US25","[NEEDS CLARIFICATION] What sources or existing system inputs provide the “current news events” used for recommendation ranking?","",""
"B0218","US25","[NEEDS CLARIFICATION] What geographic precision should “my area” use for recommendations: neighborhood, city, metro region, county/state, or a user-selectable radius?","",""
