"run_id","user_story_id","condition","repetition","attempt","technical_status","parse_status","clarification_status","question_count","parser_version"
"US02_C0_R1","US02","C0","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US02_C0_R2","US02","C0","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US02_C0_R3","US02","C0","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US02_CL_R1","US02","CL","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CL_R2","US02","CL","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US02_CL_R3","US02","CL","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CO_R1","US02","CO","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US02_CO_R2","US02","CO","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US02_CO_R3","US02","CO","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CD_R1","US02","CD","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CD_R2","US02","CD","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US02_CD_R3","US02","CD","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CS_R1","US02","CS","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US02_CS_R2","US02","CS","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CS_R3","US02","CS","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CT_R1","US02","CT","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CT_R2","US02","CT","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US02_CT_R3","US02","CT","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","1","2"
"US08_C0_R1","US08","C0","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US08_C0_R2","US08","C0","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US08_C0_R3","US08","C0","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US08_CL_R1","US08","CL","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US08_CL_R2","US08","CL","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US08_CL_R3","US08","CL","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US08_CO_R1","US08","CO","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","2","2"
"US08_CO_R2","US08","CO","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US08_CO_R3","US08","CO","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US08_CD_R1","US08","CD","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","1","2"
"US08_CD_R2","US08","CD","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US08_CD_R3","US08","CD","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US08_CS_R1","US08","CS","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US08_CS_R2","US08","CS","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US08_CS_R3","US08","CS","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US08_CT_R1","US08","CT","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","2","2"
"US08_CT_R2","US08","CT","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US08_CT_R3","US08","CT","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_C0_R1","US18","C0","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US18_C0_R2","US18","C0","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US18_C0_R3","US18","C0","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US18_CL_R1","US18","CL","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US18_CL_R2","US18","CL","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CL_R3","US18","CL","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US18_CO_R1","US18","CO","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CO_R2","US18","CO","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US18_CO_R3","US18","CO","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CD_R1","US18","CD","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CD_R2","US18","CD","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CD_R3","US18","CD","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CS_R1","US18","CS","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US18_CS_R2","US18","CS","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","1","2"
"US18_CS_R3","US18","CS","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CT_R1","US18","CT","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CT_R2","US18","CT","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US18_CT_R3","US18","CT","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","3","2"
"US25_C0_R1","US25","C0","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US25_C0_R2","US25","C0","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US25_C0_R3","US25","C0","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US25_CL_R1","US25","CL","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US25_CL_R2","US25","CL","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US25_CL_R3","US25","CL","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US25_CO_R1","US25","CO","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US25_CO_R2","US25","CO","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","5","2"
"US25_CO_R3","US25","CO","3","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US25_CD_R1","US25","CD","1","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
"US25_CD_R2","US25","CD","2","1","TECHNICAL_SUCCESS","PARSE_OK","HAS_QUESTIONS","4","2"
