"user_story_id","gap_id","gap_text","reference_information"
"US02","G01","O que é considerado uma recycling facility?","Uma recycling facility é um local físico que recebe materiais recicláveis entregues por usuários."
"US02","G02","Quais formatos de ZIP code são aceitos?","O sistema aceita ZIP de 5 dígitos e ZIP+4."
"US02","G03","O que significa uma instalação estar “nearby”?","Uma instalação é considerada próxima quando está a até 25 km da região correspondente ao ZIP informado."
"US02","G04","O que acontece quando o ZIP informado é inválido ou não pode ser localizado?","A busca não é executada e o usuário recebe uma mensagem informando que o ZIP não pôde ser reconhecido."
"US02","G05","Quais instalações podem aparecer nos resultados?","Apenas instalações com cadastro ativo e verificado podem aparecer nos resultados."
"US02","G06","Quais informações devem ser exibidas para cada instalação?","Cada resultado apresenta nome, endereço, distância e tipos de materiais aceitos."
"US02","G07","Como os resultados devem ser ordenados?","As instalações são ordenadas pela distância, da mais próxima para a mais distante."
"US02","G08","De onde é obtida a localização correspondente ao ZIP informado?","O ZIP é convertido em uma localização geográfica por um serviço de geocodificação utilizado pelo sistema."
"US02","G09","De onde vêm as informações sobre as instalações de reciclagem?","As instalações são obtidas do cadastro de instalações mantido pela plataforma."
"US02","G10","Existe uma decisão anterior sobre usar ZIP em vez da localização do dispositivo?","Foi decidido utilizar ZIP informado manualmente e não exigir acesso à localização do dispositivo."
"US02","G11","O que acontece quando nenhuma instalação é encontrada dentro da área considerada próxima?","O sistema informa que nenhuma instalação próxima foi encontrada e não amplia automaticamente o raio da busca."
"US08","G01","O que é considerado um estimator na rodada?","Estimator é um participante ativo da rodada com permissão para submeter uma estimativa."
"US08","G02","O que significa todos os estimadores terem dado sua estimativa?","A condição é satisfeita quando todos os estimadores ativos da rodada possuem uma estimativa registrada."
"US08","G03","As estimativas ficam visíveis antes da revelação?","Nenhuma estimativa individual é exibida aos participantes antes da revelação da rodada."
"US08","G04","Quando as estimativas são reveladas?","A revelação ocorre automaticamente assim que todos os estimadores ativos tiverem submetido uma estimativa."
"US08","G05","Um estimador pode alterar sua estimativa antes da revelação?","O estimador pode substituir sua estimativa enquanto a rodada ainda não tiver sido revelada."
"US08","G06","O que acontece se um estimador sair antes de estimar?","Um estimador que deixar a rodada antes da revelação deixa de ser considerado no conjunto de estimadores ativos."
"US08","G07","O que significa mostrar as estimativas “ao mesmo tempo”?","Um único evento de revelação torna o conjunto completo de estimativas disponível para todos os participantes da rodada."
"US08","G08","De onde vêm as estimativas que serão reveladas?","As estimativas são obtidas do estado da rodada mantido pelo sistema do jogo."
"US08","G09","Como o sistema sabe quais estimadores pertencem à rodada?","A lista de estimadores ativos é mantida no estado da sessão do jogo."
"US08","G10","Existe uma decisão anterior sobre quem controla a revelação das estimativas?","Foi decidido que a revelação será acionada automaticamente pelo sistema, em vez de manualmente pelo moderador, para preservar a independência entre as estimativas."
"US18","G01","O que é considerado um game nesse contexto?","Game é uma sessão de estimativa colaborativa identificada por uma URL própria."
"US18","G02","O que é um estimator?","Estimator é um participante autorizado a entrar na sessão e fornecer estimativas."
"US18","G03","Quais nomes são aceitos?","O nome deve conter entre 1 e 50 caracteres não compostos exclusivamente por espaços."
"US18","G04","Nomes duplicados são permitidos?","Dois estimadores ativos não podem utilizar o mesmo nome dentro da mesma sessão."
"US18","G05","O que acontece se a URL não corresponder a um jogo válido?","O usuário não entra no jogo e recebe uma mensagem informando que o convite é inválido ou indisponível."
"US18","G06","Em quais estados do jogo um estimador pode entrar?","O estimador pode entrar enquanto a sessão estiver aberta para participantes."
"US18","G07","O que acontece após informar um nome válido?","O estimador é adicionado à sessão e direcionado para a página ativa do jogo."
"US18","G08","Como a URL identifica o jogo correto?","A URL contém um identificador utilizado pelo sistema para localizar a sessão correspondente."
"US18","G09","Onde é registrada a participação do estimador?","A associação entre o estimador e o jogo é registrada no estado da sessão."
"US18","G10","É necessário possuir conta para entrar?","Foi decidido permitir participação por convite sem exigir criação ou autenticação de uma conta."
"US25","G01","O que é considerado conteúdo recomendado?","Conteúdo recomendado é um item de conteúdo associado a um evento noticioso elegível."
"US25","G02","O que é considerado um news event?","News event é um acontecimento noticioso identificado a partir das fontes de notícias cadastradas."
"US25","G03","O que significa “my area”?","A área do usuário corresponde ao município associado ao seu perfil."
"US25","G04","Como é determinada a relevância de um evento?","A relevância é determinada por uma pontuação que combina recência e importância atribuída ao evento."
"US25","G05","Qual período de publicação é considerado?","Apenas eventos noticiosos das últimas 24 horas são elegíveis para recomendação."
"US25","G06","Quantas recomendações são retornadas?","O sistema retorna no máximo dez recomendações."
"US25","G07","Como as recomendações são ordenadas?","As recomendações são ordenadas pela pontuação de relevância, da maior para a menor."
"US25","G08","O que acontece quando não existem eventos relevantes na área?","O sistema informa que não existem recomendações locais disponíveis e não amplia automaticamente a região."
"US25","G09","De onde é obtida a área do usuário?","A área do usuário é obtida do município registrado no serviço de perfil."
"US25","G10","De onde vêm os eventos noticiosos?","Os eventos são obtidos do serviço de notícias utilizado pela plataforma."
"US25","G11","Existe uma decisão sobre utilizar localização cadastrada em vez de GPS?","Foi decidido utilizar a localização registrada no perfil e não exigir acesso à localização atual do dispositivo."
