"blind_item_id","user_story_id","question_text_raw","segment_id","segment_text","normalized_need","mapped_gap_id","mapping_status","notes"
"B0001","US02","[NEEDS CLARIFICATION] What geographic region or service area is supported for ZIP code searches?","","","","","",""
"B0002","US02","[NEEDS CLARIFICATION] What search radius should define “nearby” recycling facilities?","","","","","",""
"B0003","US02","[NEEDS CLARIFICATION] Should accepted material types be required for every facility result, as stated in context, rather than optional decision-support details?","","","","","",""
"B0004","US02","[NEEDS CLARIFICATION] What source of recycling facility data should the system use, and how should it handle stale or unverified facility information?","","","","","",""
"B0005","US02","[NEEDS CLARIFICATION] What source of recycling facility data should be used, and how current must that data be?","","","","","",""
"B0006","US02","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones they should consider” beyond name, address, and distance?","","","","","",""
"B0007","US02","[NEEDS CLARIFICATION] What distance threshold should define “nearby” recycling facilities?","","","","","",""
"B0008","US02","[NEEDS CLARIFICATION] What radius or rule should define “nearby” recycling facilities?","","","","","",""
"B0009","US02","[NEEDS CLARIFICATION] What maximum distance should define “nearby” recycling facilities?","","","","","",""
"B0010","US02","[NEEDS CLARIFICATION] What geographic region and ZIP code formats must be supported for searches?","","","","","",""
"B0011","US02","[NEEDS CLARIFICATION] What maximum search radius should define “nearby” recycling facilities?","","","","","",""
"B0012","US02","[NEEDS CLARIFICATION] Which recycling details are required for users to decide which facilities to consider, beyond name, address, and distance?","","","","","",""
"B0013","US02","[NEEDS CLARIFICATION] Should results be limited exclusively to facilities with active and verified records, and should inactive/unverified facilities be hidden even if geographically nearby?","","","","","",""
"B0014","US02","[NEEDS CLARIFICATION] Should distance be calculated as straight-line distance from the ZIP centroid, driving distance, or another method?","","","","","",""
"B0015","US02","[NEEDS CLARIFICATION] What maximum distance should define “nearby” recycling facilities?","","","","","",""
"B0016","US02","[NEEDS CLARIFICATION] What supported service area and ZIP code format should the product accept?","","","","","",""
"B0017","US02","[NEEDS CLARIFICATION] Which facility details are required to help users decide which facilities to consider beyond name, address, and distance?","","","","","",""
"B0018","US02","[NEEDS CLARIFICATION] What supported geographic region/service area should ZIP code searches cover?","","","","","",""
"B0019","US02","[NEEDS CLARIFICATION] For an unrecognized ZIP code, should the system treat it as invalid input and avoid running the search entirely?","","","","","",""
"B0020","US02","[NEEDS CLARIFICATION] When ZIP geocoding fails because the ZIP cannot be recognized, should this be treated as the same user-facing state as an invalid ZIP, or as a separate error state?","","","","","",""
"B0021","US02","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones they should consider” beyond name, address, and distance?","","","","","",""
"B0022","US02","[NEEDS CLARIFICATION] Which recycling details are required for users to compare facilities, beyond name, address, and distance?","","","","","",""
"B0023","US02","[NEEDS CLARIFICATION] What source of facility data should the system use, and how fresh must that data be?","","","","","",""
"B0024","US02","[NEEDS CLARIFICATION] What ZIP code format and supported geographic area should the search accept?","","","","","",""
"B0025","US02","[NEEDS CLARIFICATION] Should ""nearby"" be defined as within 25 km, replacing the current 25 miles assumption in `spec.md`?","","","","","",""
"B0026","US02","[NEEDS CLARIFICATION] How should the system behave when the geocoding service or facility registry is unavailable or returns incomplete data?","","","","","",""
"B0027","US02","[NEEDS CLARIFICATION] What supported region or service area should ZIP code searches cover?","","","","","",""
"B0028","US02","[NEEDS CLARIFICATION] Should results include facilities with only partial or unverified recycling details, and if so how should that uncertainty be shown?","","","","","",""
"B0029","US02","[NEEDS CLARIFICATION] Should results be limited exclusively to facilities with active and verified registrations?","","","","","",""
"B0030","US02","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones I should consider” beyond name, address, and distance?","","","","","",""
"B0031","US02","[NEEDS CLARIFICATION] What search radius should define “nearby” recycling facilities?","","","","","",""
"B0032","US02","[NEEDS CLARIFICATION] How should the system handle facilities that accept only specific recyclable materials when the user has not specified a material type?","","","","","",""
"B0033","US02","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones they should consider” beyond name, address, and distance?","","","","","",""
"B0034","US02","[NEEDS CLARIFICATION] Should users be able to filter or compare facilities by accepted material type, or is a proximity-sorted list sufficient?","","","","","",""
"B0035","US02","[NEEDS CLARIFICATION] How should the system message distinguish between an invalid ZIP format, a recognized ZIP with no nearby facilities, and a ZIP that cannot be recognized by the geocoding service?","","","","","",""
"B0036","US02","[NEEDS CLARIFICATION] What facility details are required in each result so the user can determine which facilities to consider?","","","","","",""
"B0037","US02","[NEEDS CLARIFICATION] Should accepted material types be mandatory for every facility result, as stated in context, instead of optional decision-support details as written in FR-006?","","","","","",""
"B0038","US02","[NEEDS CLARIFICATION] What supported region or service area should ZIP code searches cover?","","","","","",""
"B0039","US02","[NEEDS CLARIFICATION] What search radius should define “nearby” facilities if the initial ZIP code has few or no results?","","","","","",""
"B0040","US02","[NEEDS CLARIFICATION] Should “nearby” use the context-defined radius of 25 km, replacing the spec’s current assumption of 25 miles?","","","","","",""
"B0041","US02","[NEEDS CLARIFICATION] Which recycling details are required for users to determine which facilities to consider, beyond name, address, and distance?","","","","","",""
"B0042","US02","[NEEDS CLARIFICATION] What supported region or ZIP code format should the feature accept?","","","","","",""
"B0043","US02","[NEEDS CLARIFICATION] What geographic region or set of ZIP codes is considered the supported service area?","","","","","",""
"B0044","US02","[NEEDS CLARIFICATION] Should results be limited to recycling facilities with active and verified platform records only?","","","","","",""
"B0045","US02","[NEEDS CLARIFICATION] What ZIP code region or format must be supported for this feature?","","","","","",""
"B0046","US02","[NEEDS CLARIFICATION] What distance radius or rule defines “nearby” recycling facilities?","","","","","",""
"B0047","US02","[NEEDS CLARIFICATION] How should the system distinguish an unrecognized ZIP code from a valid ZIP code with no active verified facilities within the search radius?","","","","","",""
"B0048","US02","[NEEDS CLARIFICATION] What distance or radius defines “nearby” recycling facilities?","","","","","",""
"B0049","US02","[NEEDS CLARIFICATION] What message or user action should be provided when the ZIP geocoding service or facility registry is temporarily unavailable?","","","","","",""
"B0050","US02","[NEEDS CLARIFICATION] What radius or rule defines “nearby” facilities for a submitted ZIP code?","","","","","",""
"B0051","US02","[NEEDS CLARIFICATION] Should “nearby” use the 25 km radius stated in context, replacing the spec’s current 25-mile assumption?","","","","","",""
"B0052","US02","[NEEDS CLARIFICATION] Should ZIP validation accept only 5-digit ZIP codes and ZIP+4 formats?","","","","","",""
"B0053","US02","[NEEDS CLARIFICATION] For a valid but unrecognized ZIP, should the system show the specific “ZIP could not be recognized” message and skip the search?","","","","","",""
"B0054","US02","[NEEDS CLARIFICATION] What ZIP formats or geographic regions are supported?","","","","","",""
"B0055","US02","[NEEDS CLARIFICATION] Should results include only recycling facilities with active and verified records?","","","","","",""
"B0056","US02","[NEEDS CLARIFICATION] What supported geographic region or service area should ZIP code searches cover?","","","","","",""
"B0057","US02","[NEEDS CLARIFICATION] Should users be able to filter or identify facilities by accepted material type?","","","","","",""
"B0058","US02","[NEEDS CLARIFICATION] Are accepted material types mandatory for every facility result, as stated in the operational context, or optional decision-support details as currently described in `spec.md`?","","","","","",""
"B0059","US02","[NEEDS CLARIFICATION] What facility data source should be used to determine available recycling facilities and their details?","","","","","",""
"B0060","US02","[NEEDS CLARIFICATION] What facility data source should be used, and how current does the facility information need to be?","","","","","",""
"B0061","US02","[NEEDS CLARIFICATION] How should the system handle facilities with incomplete or stale data in the platform’s facility registry?","","","","","",""
"B0062","US02","[NEEDS CLARIFICATION] What source of recycling facility data should the system use?","","","","","",""
"B0063","US02","[NEEDS CLARIFICATION] What facility data source should be used, and how fresh must the facility information be?","","","","","",""
"B0064","US02","[NEEDS CLARIFICATION] Which facility details are required for users to “determine which ones to consider” beyond name, address, and distance?","","","","","",""
"B0065","US02","[NEEDS CLARIFICATION] What minimum facility details, beyond name, address, and distance, are required for a user to determine which facilities to consider?","","","","","",""
"B0066","US02","[NEEDS CLARIFICATION] How should “nearby” be defined for returning facilities, such as a fixed radius, configurable radius, or a result count limit?","","","","","",""
"B0067","US02","[NEEDS CLARIFICATION] Should “nearby” use the 25 km radius from the operational context, or the 25 miles radius currently assumed in `spec.md`?","","","","","",""
"B0068","US02","[NEEDS CLARIFICATION] Should “nearby” be defined as within 25 km, as stated in context, rather than 25 miles as stated in spec.md?","","","","","",""
"B0069","US02","[NEEDS CLARIFICATION] Should valid ZIP input explicitly include only 5-digit ZIP codes and ZIP+4 formats?","","","","","",""
"B0070","US02","[NEEDS CLARIFICATION] How should distance be calculated and displayed for sorting facilities by proximity?","","","","","",""
"B0071","US02","[NEEDS CLARIFICATION] What source should facility data come from, and how current must it be?","","","","","",""
